Wed, 24 Jan 2018 23:00:06 INFO 
=====Config====
model_name = Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 1.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Conv3d_2018-01-24 23:00:05.log
save_model_path = saved_models/Conv3d_2018-01-24 23:00:05/
=====Config====

Wed, 24 Jan 2018 23:09:32 INFO [Test] Epoch:71, TP:39, TN:11, FP:8, FN:2, Loss:1.128191, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 23:09:39 INFO [Train] Epoch:72, TP:178, TN:62, FP:0, FN:0, Loss:0.000015, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:39 INFO [Test] Epoch:72, TP:38, TN:13, FP:6, FN:3, Loss:1.146576, Accuracy:0.850000, F1:0.894118
Wed, 24 Jan 2018 23:09:46 INFO [Train] Epoch:73, TP:178, TN:62, FP:0, FN:0, Loss:0.000001, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:47 INFO [Test] Epoch:73, TP:39, TN:12, FP:7, FN:2, Loss:1.244491, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:09:54 INFO [Train] Epoch:74, TP:178, TN:62, FP:0, FN:0, Loss:0.000002, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:09:54 INFO [Test] Epoch:74, TP:39, TN:9, FP:10, FN:2, Loss:1.911479, Accuracy:0.800000, F1:0.866667
Wed, 24 Jan 2018 23:10:01 INFO [Train] Epoch:75, TP:178, TN:47, FP:15, FN:0, Loss:0.258864, Accuracy:0.937500, F1:0.959569
Wed, 24 Jan 2018 23:10:02 INFO [Test] Epoch:75, TP:41, TN:1, FP:18, FN:0, Loss:4.506623, Accuracy:0.700000, F1:0.820000
Wed, 24 Jan 2018 23:10:09 INFO [Train] Epoch:76, TP:178, TN:62, FP:0, FN:0, Loss:0.000068, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:10:09 INFO [Test] Epoch:76, TP:40, TN:6, FP:13, FN:1, Loss:1.982596, Accuracy:0.766667, F1:0.851064
Wed, 24 Jan 2018 23:10:16 INFO [Train] Epoch:77, TP:178, TN:62, FP:0, FN:0, Loss:0.000001, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:10:17 INFO [Test] Epoch:77, TP:39, TN:10, FP:9, FN:2, Loss:1.358576, Accuracy:0.816667, F1:0.876404
