Wed, 24 Jan 2018 21:02:13 INFO 
=====Config====
model_name = Shadow_Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 0.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Shadow_Conv3d_2018-01-24 21:02:12.log
save_model_path = saved_models/Shadow_Conv3d_2018-01-24 21:02:12/
=====Config====

Wed, 24 Jan 2018 21:07:36 INFO [Train] Epoch:55, TP:178, TN:62, FP:0, FN:0, Loss:0.009042, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:37 INFO [Test] Epoch:55, TP:38, TN:16, FP:3, FN:3, Loss:0.503099, Accuracy:0.900000, F1:0.926829
Wed, 24 Jan 2018 21:07:42 INFO [Train] Epoch:56, TP:178, TN:62, FP:0, FN:0, Loss:0.000077, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:42 INFO [Test] Epoch:56, TP:39, TN:7, FP:12, FN:2, Loss:1.022413, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:07:47 INFO [Train] Epoch:57, TP:178, TN:62, FP:0, FN:0, Loss:0.000254, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:47 INFO [Test] Epoch:57, TP:39, TN:8, FP:11, FN:2, Loss:0.887165, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:07:52 INFO [Train] Epoch:58, TP:178, TN:62, FP:0, FN:0, Loss:0.000194, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:52 INFO [Test] Epoch:58, TP:39, TN:4, FP:15, FN:2, Loss:1.305599, Accuracy:0.716667, F1:0.821053
Wed, 24 Jan 2018 21:07:57 INFO [Train] Epoch:59, TP:178, TN:62, FP:0, FN:0, Loss:0.000082, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:07:57 INFO [Test] Epoch:59, TP:39, TN:7, FP:12, FN:2, Loss:1.082886, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:08:02 INFO [Train] Epoch:60, TP:178, TN:62, FP:0, FN:0, Loss:0.000054, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:08:03 INFO [Test] Epoch:60, TP:39, TN:6, FP:13, FN:2, Loss:1.168803, Accuracy:0.750000, F1:0.838710
