Tue, 23 Jan 2018 21:56:08 WARNING From /usr/local/lib/python3.6/dist-packages/tensorflow/contrib/training/python/training/training.py:412: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
Tue, 23 Jan 2018 21:56:15 INFO 
=====Config====
model_name = Epilepsy_3D_CNN  
is_training = True      
max_epoch = 500
gpu_num = 1
lr = 1
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.5
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Epilepsy_3D_CNN_2018-01-23 21:56:06.log
save_model_path = saved_models/epilepsy_3d_cnn_2018-01-23 21:56:06/
=====Config====

Tue, 23 Jan 2018 22:29:16 INFO [Train] Epoch:65, TP:178, TN:62, FP:0, FN:0, Loss:0.000032, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:29:18 INFO [Test] Epoch:65, TP:38, TN:9, FP:10, FN:3, Loss:0.708029, Accuracy:0.783333, F1:0.853933
Tue, 23 Jan 2018 22:29:46 INFO [Train] Epoch:66, TP:178, TN:62, FP:0, FN:0, Loss:0.001117, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:29:48 INFO [Test] Epoch:66, TP:34, TN:17, FP:2, FN:7, Loss:0.556441, Accuracy:0.850000, F1:0.883117
Tue, 23 Jan 2018 22:30:15 INFO [Train] Epoch:67, TP:178, TN:62, FP:0, FN:0, Loss:0.000014, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:30:17 INFO [Test] Epoch:67, TP:38, TN:12, FP:7, FN:3, Loss:0.588599, Accuracy:0.833333, F1:0.883721
Tue, 23 Jan 2018 22:30:45 INFO [Train] Epoch:68, TP:178, TN:62, FP:0, FN:0, Loss:0.000025, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:30:46 INFO [Test] Epoch:68, TP:36, TN:17, FP:2, FN:5, Loss:0.506372, Accuracy:0.883333, F1:0.911392
Tue, 23 Jan 2018 22:31:14 INFO [Train] Epoch:69, TP:178, TN:62, FP:0, FN:0, Loss:0.000021, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:31:16 INFO [Test] Epoch:69, TP:36, TN:17, FP:2, FN:5, Loss:0.520284, Accuracy:0.883333, F1:0.911392
